courseid;id_kategorie;cely_nazev_kurzu;short_code_kurzu;zacatek_kurzu;konec_kurzu;nazev_kategorie;kod_kurzu;kod_ved_urednik;kod_urednik;mesto;misto_konani;popis_kurzu;multi_date_course;cas_kurzu;druh_kurzu;zamekkod;max_students;Pocet_studentu;Pocet_ostatnich;Pocet_uspesnych_dokonceni;Pocet_osvedceni_a_certifikatu;Pocet_osvedceni;Pocet_certifikatu;Kontaktni_osoba;
314;8;Ochrana ivotního prostøedí na úrovni obcí;OZPO;29.03.2021 09:00;29.03.2021 17:00;Course templates;OZPO;AK/VE-224/2019;AK/PV-363/2019;;;;;8;akreditovanı kurz;NE;;0;0;0;0;0;0; / ;
315;8;Poskytování dotací a návratnıch finanèních vıpomocí územními samosprávnımi celky;PDFV;29.03.2021 09:00;29.03.2021 17:00;Course templates;PDFV;AK/VE-292/2019;AK/PV-463/2019;;;;;8;akreditovanı kurz;NE;;0;0;0;0;0;0; / ;
316;8;Pracovnì právní agenda obcí;PPAO;29.03.2021 09:00;29.03.2021 17:00;Course templates;PPAO;AK/VE-149/2019;AK/PV-239/2019;;;;;6;akreditovanı kurz;NE;;0;0;0;0;0;0; / ;
317;8;Projektové øízení;PROR;29.03.2021 09:00;29.03.2021 17:00;Course templates;PROØ;AK/VE-155/2019;AK/PV-254/2019;;;;;8;akreditovanı kurz;NE;;0;0;0;0;0;0; / ;
318;8;Prùvodce veøejnımi zakázkami - Nastavení interního procesu zadavatele;VZIP;29.03.2021 09:00;29.03.2021 17:00;Course templates;VZIP;AK/VE-84/2019;AK/PV-139/2019;;;;;8;akreditovanı kurz;NE;;0;0;0;0;0;0; / ;
319;8;Prùvodce veøejnımi zakázkami – Úvod do problematiky zadávání veøejnıch zakázek;VZUP;29.03.2021 09:00;29.03.2021 17:00;Course templates;VZUP;AK/VE-82/2019;AK/PV-137/2019;;;;;8;akreditovanı kurz;NE;;0;0;0;0;0;0; / ;
320;8;Správní øád od A do Z - Doruèování;SRDO;29.03.2021 09:00;29.03.2021 17:00;Course templates;SRDO;AK/VE-93/2019;AK/PV-155/2019;;;;;8;akreditovanı kurz;NE;;0;0;0;0;0;0; / ;
321;8;Správní øád od A do Z - Judikatura v praxi územních samosprávnıch celkù;SRJU;29.03.2021 09:00;29.03.2021 17:00;Course templates;SRJU;AK/VE-366/2019;AK/PV-558/2019;;;;;8;akreditovanı kurz;NE;;0;0;0;1;1;0; / ;
322;8;Správní øád v rozhodovací praxi orgánù územních samosprávnıch celkù - základní modul;SRZM;29.03.2021 09:00;29.03.2021 17:00;Course templates;SRZM;AK/VE-37/2019;AK/PV-59/2019;;;;;8;akreditovanı kurz;NE;;0;0;0;0;0;0; / ;
323;8;Stavební zákon v praxi územních samosprávnıch celkù;SZVP;29.03.2021 09:00;29.03.2021 17:00;Course templates;SZVP;AK/VE-255/2019;AK/PV-400/2019;;;;;8;akreditovanı kurz;NE;;0;0;0;0;0;0; / ;
324;8;Strategické plánování;STPL;29.03.2021 09:00;29.03.2021 17:00;Course templates;STPL;AK/VE-173/2019;AK/PV-301/2019;;;;;8;akreditovanı kurz;NE;;0;0;0;0;0;0; / ;
325;8;Støet zájmù a podjatost ve veøejné správì;SZAP;29.03.2021 09:00;29.03.2021 17:00;Course templates;SZAP;AK/VE-166/2019;AK/PV-286/2019;;;;;7;akreditovanı kurz;NE;;0;0;0;0;0;0; / ;
326;8;Úøední deska pøehlednì a v pøíkladech;UDPP;29.03.2021 09:00;29.03.2021 17:00;Course templates;ÚDPP;AK/VE-324/2019;AK/PV-514/2019;;;;;6;akreditovanı kurz;NE;;0;0;0;0;0;0; / ;
327;8;Územní plánování v praxi územních samosprávnıch celkù;UVPP;29.03.2021 09:00;29.03.2021 17:00;Course templates;ÚVPP;AK/VE-256/2019;AK/PV-401/2019;;;;;8;akreditovanı kurz;ANO;;0;0;0;0;0;0; / ;
328;8;Základní principy fungování obce;ZPFO;29.03.2021 09:00;29.03.2021 17:00;Course templates;ZPFO;AK/VE-79/2019;AK/PV-134/2019;;;;;8;akreditovanı kurz;NE;;0;0;0;0;0;0; / ;
329;8;VZOR KURZÙ final neakr;;29.03.2021 09:00;29.03.2021 17:00;Course templates;;;;;;;;8;neakreditovanı kurz;;0;0;0;1;1;0; / ;
330;8;3E v praxi ÚSC: Moderní metody finanèního plánování a investièního rozhodování;EFIP;29.03.2021 09:00;29.03.2021 17:00;Course templates;EFIP;AK/VE-27/2020;AK/PV-40/2020;;;;;6;akreditovanı kurz;NE;;0;0;0;0;0;0; / ;
331;8;3E v praxi ÚSC: Kalkulace úplnıch nákladù veøejné sluby;NAKA;29.03.2021 09:00;29.03.2021 17:00;Course templates;NAKA;AK/VE-26/2020;AK/PV-39/2020;;;;;6;akreditovanı kurz;NE;;0;0;0;0;0;0; / ;
332;8;3E v praxi ÚSC: Nákladovì uitkové metody;ENUM;29.03.2021 09:00;29.03.2021 17:00;Course templates;ENUM;AK/VE-25/2020;AK/PV-38/2020;;;;;6;akreditovanı kurz;NE;;0;0;0;0;0;0; / ;
333;8;Èeština v úøední praxi;CJUP;29.03.2021 09:00;29.03.2021 17:00;Course templates;CJUP;AK/VE-66/2020;AK/PV-106/2020;;;;;6;akreditovanı kurz;NE;;0;0;0;0;0;0; / ;
334;8;Informaèní modelování staveb (BIM) v praxi ÚSC;BIMP;29.03.2021 09:00;29.03.2021 17:00;Course templates;BIMP;;;;;;;8;neakreditovanı kurz;NE;;0;0;0;0;0;0; / ;
335;8;Místní poplatky v praxi obcí - Zákon o místních poplatcích;MPZA;29.03.2021 09:00;29.03.2021 17:00;Course templates;MPZA;AK/VE-162/2020;AK/PV-234/2020;;;;;8;akreditovanı kurz;NE;;0;0;0;0;0;0; / ;
336;8;Vidimace a legalizace v praxi ÚSC;VILE;29.03.2021 09:00;29.03.2021 17:00;Course templates;VILE;;;;;;;8;neakreditovanı kurz;NE;;0;0;0;0;0;0; / ;
337;8;Základní principy fungování hlavního mìsta Prahy;ZPHM;29.03.2021 09:00;29.03.2021 17:00;Course templates;ZPHM;;;;;;;16;neakreditovanı kurz;NE;;0;0;0;0;0;0; / ;
477;8;Právo na informace podle zákona o svobodném pøístupu k informacím v praxi obcí;pravo_na_informace;29.03.2021 09:00;29.03.2021 17:00;Course templates;;;;;;;;8;akreditovanı kurz;NE;;0;0;0;0;0;0; / ;
592;8;! VZOR TEMPLATÙ;vzor;29.03.2021 09:00;29.03.2021 17:00;Course templates;;;;;;;;8;;NE;;0;0;0;0;0;0; / ;
798;8;Správa ivnostenského podnikání pro pokroèilé;;29.03.2021 09:00;29.03.2021 17:00;Course templates;SZPP;AK/VE-91/2020;AK/PV-137/2020;;;;;8;akreditovanı kurz;NE;;0;0;0;0;0;0; / ;
824;8;Úvod do práva pro neprávníky;;29.03.2021 09:00;29.03.2021 17:00;Course templates;UPPN;AK/VE-62/2020;AK/PV-100/2020;;;;;8;akreditovanı kurz;NE;;0;0;0;0;0;0; / ;
865;8;Sociální sluby z pohledu obcí  a krajù ;;29.03.2021 09:00;29.03.2021 17:00;Course templates;SSOK;AK/VE-75/2020;AK/PV-116/2020;;;;;8;akreditovanı kurz;NE;;0;0;0;0;0;0; / ;
875;8;Krizové øízení na úrovni obcí v praxi;;29.03.2021 09:00;29.03.2021 17:00;Course templates;KRUO;AK/VE-148/2020;AK/PV-219/2020;;;;;8;akreditovanı kurz;NE;;0;0;0;0;0;0; / ;
878;8;Pracovnì právní agenda obcí a úloha personalisty územního samosprávného celku;;29.03.2021 09:00;29.03.2021 17:00;Course templates;PPAP;AK/VE-120/2020;AK/PV-182/2020;;;;;8;akreditovanı kurz;NE;;0;0;0;0;0;0; / ;
879;8;Praktická realizace vıbìrovıch øízení v kontextu zákona è. 312/2002 Sb., o úøednících územních samosprávnıch celkù a o zmìnì nìkterıch zákonù;;29.03.2021 09:00;29.03.2021 17:00;Course templates;PRUU;AK/VE-119/2020;AK/PV-181/2020;;;;;8;akreditovanı kurz;NE;;0;0;0;0;0;0; / ;
880;8;Hodnocení a odmìòování zamìstnancù v podmínkách územních samosprávnıch celkù;;29.03.2021 09:00;29.03.2021 17:00;Course templates;HOOZ;AK/VE-140/2020;AK/PV-209/2020;;;;;8;akreditovanı kurz;NE;;0;0;0;0;0;0; / ;
1502;8;Prùvodce veøejnımi zakázkami – Odpovìdné veøejné zadávání;ODP;29.03.2021 09:00;29.03.2021 17:00;Course templates;;;;;;;;;;NE;;0;0;0;0;0;0; / ;
1552;8;Hazardní hry z pohledu obcí – Práva a povinnosti obcí v oblasti hazardních her;HAZR_20191212;29.03.2021 09:00;29.03.2021 17:00;Course templates;;;;;;;;;;NE;;0;0;0;0;0;0; / ;
1569;8;Komunikace;SPKO;29.03.2021 09:00;29.03.2021 17:00;Course templates;SPKO;;;;;;;6;neakreditovanı kurz;NE;;0;0;0;0;0;0; / ;
1584;8;VZOR kurzù neakr2;neakr;29.03.2021 09:00;29.03.2021 17:00;Course templates;;;;;;;;8;neakreditovanı kurz;NE;;0;0;0;0;0;0; / ;
1587;8;VZOR kurzù akr 2;sample;29.03.2021 09:00;29.03.2021 17:00;Course templates;KOD;AAAKODBBB;AAAKODCCC;;;;;8;akreditovanı kurz;NE;;0;0;0;0;0;0; / ;
352;11;Prùvodce veøejnımi zakázkami – Praktická aplikace institutù zákona o zadávání veøejnıch zakázek;;18.02.2020 09:00;18.02.2020 17:00;Karlovarskı kraj;VZAI;AK/VE-83/2019;AK/PV-138/2019;Karlovy Vary (okres Karlovy Vary);;;;8;akreditovanı kurz;NE;;67;2;1;0;0;0;Bc. Jan Písaøík ;
369;11;Archivnictví a spisová sluba územních samosprávnıch celkù;;17.03.2020 09:00;17.03.2020 17:00;Karlovarskı kraj;ASUS;AK/VE-104/2019;AK/PV-171/2019;Karlovy Vary (okres Karlovy Vary);;;;8;akreditovanı kurz;NE;;81;2;0;1;0;1;Bc. Jan Písaøík ;
395;11;Zákon è. 312/2002 Sb., o úøednících územních samosprávnıch celkù;;12.05.2020 09:00;12.05.2020 17:00;Karlovarskı kraj;ZOUR;AK/VE-265/2019;AK/PV-415/2019;Karlovy Vary (okres Karlovy Vary);;;;8;akreditovanı kurz;NE;;0;2;0;0;0;0;Bc. Jan Písaøík ;
419;11;Rozpoètové hospodaøení obcí;;09.06.2020 10:00;09.06.2020 18:00;Karlovarskı kraj;ROHO;AK/VE-226/2019;AK/PV-365/2019;Karlovy Vary (okres Karlovy Vary);;;;8;akreditovanı kurz;NE;;1;1;0;0;0;0;Bc. Jan Písaøík ;
425;11;Elektronizace veøejné správy;;22.09.2020 09:00;22.09.2020 17:00;Karlovarskı kraj;ELVS;AK/VE-291/2019;AK/PV-461/2019;Karlovy Vary (okres Karlovy Vary);KÚ Karlovy Vary;Krajskı úøad Karlovarského krajeZávodní 353/88360 06 Karlovy VaryBudova Azastupitelskı sál;;8;akreditovanı kurz;NE;48;0;0;0;0;0;0; / ;
429;11;Správní øád od A do Z – Vady øízení;;13.10.2020 09:00;13.10.2020 17:00;Karlovarskı kraj;SRVØ;AK/VE-96/2019;AK/PV-159/2019;Karlovy Vary (okres Karlovy Vary);KÚ Karlovy Vary;Krajskı úøad Karlovarského krajeZávodní 353/88360 06 Karlovy VaryBudova Azastupitelskı sál;;8;akreditovanı kurz;NE;48;2;2;0;2;1;0;Bc. Jan Písaøík ;
431;11;Správní øád od A do Z - Judikatura v praxi územních samosprávnıch celkù;;10.11.2020 09:00;10.11.2020 17:00;Karlovarskı kraj;SRJU;AK/VE-366/2019;AK/PV-558/2019;Karlovy Vary (okres Karlovy Vary);KÚ Karlovy Vary;Krajskı úøad Karlovarského krajeZávodní 353/88360 06 Karlovy VaryBudova Azastupitelskı sál;;8;akreditovanı kurz;NE;48;3;2;0;0;0;0;Bc. Jan Písaøík ;
857;11;Archivnictví a spisová sluba územních samosprávnıch celkù;;24.11.2020 09:00;24.11.2020 17:00;Karlovarskı kraj;ASUS;AK/VE-104/2019;AK/PV-171/2019;Karlovy Vary (okres Karlovy Vary);KÚ Karlovy Vary;Krajskı úøad Karlovarského krajeZávodní 353/88360 06 Karlovy VaryBudova Azastupitelskı sál;;8;akreditovanı kurz;NE;48;5;2;0;0;0;0;Bc. Jan Písaøík ;
872;11;Vybrané otázky poskytování informací podle zákona è. 106/1999 Sb.;;29.10.2020 09:00;29.10.2020 17:00;Karlovarskı kraj;VOPI;AK/VE-156/2019;AK/PV-255/2019;Karlovy Vary (okres Karlovy Vary);KÚ Karlovy Vary;Krajskı úøad Karlovarského krajeZávodní 353/88360 06 Karlovy VaryBudova Azastupitelskı sál;;8;akreditovanı kurz;NE;48;3;2;0;0;0;0;Bc. Jan Písaøík ;
908;11;Zákon è. 312/2002 Sb., o úøednících územních samosprávnıch celkù;;15.09.2020 09:00;15.09.2020 17:00;Karlovarskı kraj;ZOUR;AK/VE-265/2019;AK/PV-415/2019;Karlovy Vary (okres Karlovy Vary);KÚ Karlovy Vary;Krajskı úøad Karlovarského krajeZávodní 353/88360 06 Karlovy VaryBudova Azastupitelskı sál;;8;akreditovanı kurz;NE;48;12;2;0;0;0;0;Bc. Jan Písaøík ;
909;11;Informaèní modelování staveb (BIM) v praxi ÚSC;;17.12.2020 09:00;17.12.2020 17:00;Karlovarskı kraj;BIMP;;;Karlovy Vary (okres Karlovy Vary);KÚ Karlovy Vary;Krajskı úøad Karlovarského krajeZávodní 353/88360 06 Karlovy VaryBudova Azastupitelskı sál;;8;akreditovanı kurz;NE;48;0;0;0;0;0;0; / ;
